customer_id,year_month,nb_transactions,ElasticNet,KNeighborsRegressor,MLP,prediction_aggregated
1001614,2019-10,1,29,5,15,16
1001614,2019-11,1,24,11,8,15
1006880,2019-10,26,94,20,45,53
1006880,2019-11,14,68,16,31,38
1031165,2019-10,19,122,138,140,133
1031165,2019-11,34,106,121,111,113
1031165,2019-12,0,65,81,80,75
1067115,2019-10,132,392,1066,552,670
1067115,2019-11,95,297,157,352,269
1067115,2019-12,63,237,190,242,223
1073325,2019-10,7,54,55,70,59
1073325,2019-11,7,43,56,51,50
1099520,2019-10,5,48,62,51,54
1099520,2019-11,22,60,61,58,59
1099520,2019-12,1,40,1,45,29
1100437,2019-10,9,49,33,34,39
1100437,2019-11,18,54,14,29,32
1100437,2019-12,5,44,5,26,25
1122359,2019-10,22,46,53,48,49
1122359,2019-11,0,32,36,32,34
1132801,2019-10,43,156,162,223,180
1132801,2019-11,31,138,147,178,155
1132801,2019-12,35,126,35,108,90
1150412,2019-10,45,122,94,133,117
1150412,2019-11,20,85,24,92,67
1150412,2019-12,0,54,17,37,36
1181986,2019-10,15,46,1,26,24
1181986,2019-11,0,34,10,9,18
1182581,2019-10,16,50,31,51,44
1182581,2019-11,13,42,25,48,38
1198032,2019-10,16,66,24,59,49
1198032,2019-11,5,55,11,38,35
1198032,2019-12,4,57,8,28,31
1204051,2019-10,18,35,58,46,46
1204051,2019-11,20,40,93,30,54
1207429,2019-10,2,27,17,8,17
1207429,2019-11,2,24,12,2,12
1207429,2019-12,14,32,8,20,20
1208206,2019-10,162,215,196,196,202
1208206,2019-11,116,231,165,212,203
1208206,2019-12,57,185,59,110,118
1224236,2019-10,16,39,137,183,120
1224236,2019-11,0,28,204,98,110
1224236,2019-12,8,42,83,62,63
1225225,2019-10,31,45,8,20,24
1225225,2019-11,19,38,8,21,22
1229662,2019-10,0,26,39,33,33
1229662,2019-11,1,24,40,39,34
1229662,2019-12,0,23,29,11,21
1240419,2019-10,50,105,105,112,108
1240419,2019-11,0,70,81,73,75
1241015,2019-10,154,294,389,447,377
1241015,2019-11,40,202,358,281,280
1241015,2019-12,53,213,310,264,262
1242611,2019-10,1018,2085,2205,1886,2058
1242611,2019-11,1325,2323,2251,1934,2170
1242611,2019-12,932,2010,2418,1726,2051
1261120,2019-10,0,118,97,108,108
1261120,2019-11,1,81,67,56,68
1261120,2019-12,11,52,20,53,42
1288833,2019-10,4,38,9,21,23
1288833,2019-11,8,40,3,16,20
1294802,2019-10,0,24,2,13,13
1294802,2019-11,0,21,5,7,11
1294802,2019-12,15,30,9,10,17
1318863,2019-10,266,597,911,773,761
1318863,2019-11,128,468,474,569,504
1318863,2019-12,79,374,452,379,402
1334313,2019-10,9,41,52,28,40
1334313,2019-11,0,35,12,16,21
1342180,2019-10,218,471,472,566,503
1342180,2019-11,125,389,437,572,466
1342180,2019-12,117,355,250,368,324
1350085,2019-10,0,28,5,0,11
1350085,2019-11,14,36,3,0,13
1354523,2019-10,0,18,10,9,13
1354523,2019-11,4,20,8,8,12
1358340,2019-10,4,37,5,18,20
1358340,2019-11,0,30,6,11,16
1358340,2019-12,9,33,4,16,18
1398818,2019-10,3,60,86,49,65
1398818,2019-11,5,51,57,41,50
1399059,2019-10,24,42,1,28,24
1399059,2019-11,1,26,8,18,18
1408866,2019-10,32,50,103,39,64
1408866,2019-11,2,27,11,9,16
1408866,2019-12,33,49,14,30,31
1425811,2019-10,33,72,213,108,131
1425811,2019-11,0,46,137,77,87
1425811,2019-12,0,58,49,55,54
1432968,2019-10,4,23,14,9,15
1435341,2019-10,134,325,181,333,280
1435341,2019-11,183,347,142,375,288
1435341,2019-12,114,306,153,244,234
1441177,2019-10,1,35,45,39,39
1441177,2019-11,1,42,47,32,40
1441177,2019-12,19,62,14,37,38
1473119,2019-11,1,16,78,0,31
1473119,2019-12,8,18,16,4,12
1481260,2019-10,2,20,25,3,16
1491424,2019-10,19,99,73,106,93
1491424,2019-11,11,79,60,76,72
1491424,2019-12,23,71,31,57,53
1499465,2019-10,9,56,8,52,39
1499465,2019-11,6,51,8,40,33
1499465,2019-12,4,41,7,26,24
1545938,2019-10,7,104,97,137,112
1545938,2019-11,19,89,158,106,118
1545938,2019-12,48,109,99,79,95
1566813,2019-10,4,29,10,30,23
1566813,2019-11,0,24,6,21,17
1566813,2019-12,0,19,4,15,13
1566871,2019-10,16,57,14,50,40
1566871,2019-11,2,45,20,34,33
1594729,2019-10,31,86,46,130,87
1594729,2019-11,23,69,27,90,62
1594729,2019-12,35,85,24,92,67
1609753,2019-10,228,417,334,496,416
1609753,2019-11,311,460,442,492,465
1609753,2019-12,100,316,223,317,285
1618902,2019-10,238,853,410,1356,873
1618902,2019-11,189,739,654,1296,896
1618902,2019-12,212,620,528,875,674
1622936,2019-10,19,64,9,21,32
1622936,2019-11,3,46,9,14,23
1622936,2019-12,0,42,4,8,18
1625205,2019-10,19,65,41,20,42
1625205,2019-11,9,54,33,10,32
1625205,2019-12,2,43,9,11,21
1636465,2019-10,11,24,8,19,17
1636465,2019-11,0,16,15,5,12
1656780,2019-10,14,36,27,28,30
1656780,2019-11,6,24,9,10,14
1682820,2019-10,7,23,5,14,14
1689543,2019-10,42,68,21,63,51
1689543,2019-11,0,38,11,33,27
1695706,2019-10,0,30,16,10,19
1695706,2019-11,0,27,1,7,12
1695706,2019-12,1,22,8,4,11
1745724,2019-10,17,60,74,71,68
1745724,2019-11,9,45,68,48,54
1745724,2019-12,13,44,33,40,39
1752918,2019-10,1,24,4,5,11
1753248,2019-10,61,588,534,411,511
1753248,2019-11,5,385,916,249,516
1753248,2019-12,42,271,204,144,207
1773952,2019-10,43,72,19,37,43
1773952,2019-11,1,42,14,15,23
1778682,2019-10,19,76,49,58,61
1778682,2019-11,6,63,123,53,80
1778682,2019-12,24,60,30,55,48
1782218,2019-10,10,32,29,25,29
1813344,2019-12,12,20,33,12,21
1815058,2019-10,20,60,27,51,46
1815058,2019-11,37,70,30,40,47
1818348,2019-10,12,36,4,20,20
1850553,2019-10,15,67,11,75,51
1850553,2019-11,20,57,12,33,34
1850553,2019-12,0,33,26,17,25
1851014,2019-10,20,55,11,24,30
1851014,2019-11,22,61,16,32,36
1851014,2019-12,1,46,4,23,24
1851285,2019-10,51,95,117,119,110
1851285,2019-11,18,75,97,107,93
1919793,2019-10,40,69,31,63,54
1919793,2019-11,9,48,16,42,35
1919793,2019-12,0,35,32,20,29
1952531,2019-10,49,138,150,180,156
1952531,2019-11,85,164,124,205,165
1952531,2019-12,62,148,145,161,151
1958884,2019-10,5,20,20,9,16
1958884,2019-11,0,14,3,4,7
1961565,2019-10,22,56,33,46,45
1961565,2019-11,27,59,27,41,42
1961565,2019-12,8,46,26,32,35
1963935,2019-10,0,24,13,6,14
1963935,2019-11,3,30,24,8,21
1968660,2019-10,5,62,75,88,75
1968660,2019-11,20,55,61,77,65
1968660,2019-12,23,55,48,66,56
1968965,2019-10,3,74,53,79,69
1968965,2019-11,0,72,39,58,57
1968965,2019-12,0,51,9,29,29
1979368,2019-10,8,80,81,22,61
1979368,2019-11,0,56,47,20,41
1979368,2019-12,1,36,63,39,46
2000177,2019-10,12,38,8,16,21
2000177,2019-11,0,25,2,8,12
2052324,2019-10,14,53,51,46,50
2052324,2019-11,14,46,26,25,32
2052324,2019-12,27,55,15,47,39
2064002,2019-10,3,23,4,0,9
2064002,2019-11,0,17,7,7,10
2064002,2019-12,0,14,20,14,16
2069471,2019-10,2,78,50,42,57
2069471,2019-11,38,91,8,58,53
2099931,2019-10,11,101,128,121,117
2099931,2019-11,59,119,148,133,133
2099931,2019-12,15,75,23,65,55
2113195,2019-10,12,40,29,35,35
2113195,2019-11,3,29,88,17,45
2113195,2019-12,16,36,22,26,28
2118818,2019-10,44,134,69,174,126
2118818,2019-11,12,103,93,157,118
2147563,2019-10,7,148,184,180,171
2147563,2019-11,0,118,146,128,130
2183774,2019-10,21,106,138,138,127
2183774,2019-11,8,78,72,79,76
2183774,2019-12,11,57,42,79,59
2185759,2019-10,19,73,10,76,53
2185759,2019-11,17,59,6,48,38
2185759,2019-12,54,88,12,57,53
2190102,2019-10,21,72,24,33,43
2190102,2019-11,18,73,15,21,36
2210573,2019-10,7,50,17,28,32
2210573,2019-11,28,69,18,35,41
2211812,2019-10,71,120,141,130,131
2211812,2019-11,12,91,53,90,78
2211812,2019-12,12,95,16,59,57
2255097,2019-10,1,29,33,17,26
2255097,2019-11,0,24,23,8,19
2262358,2019-10,57,134,148,190,158
2262358,2019-11,10,91,262,145,166
2282933,2019-10,1,38,144,80,87
2295841,2019-10,11,49,4,44,32
2295841,2019-11,9,47,3,48,32
2295841,2019-12,10,45,10,28,27
2309184,2019-10,75,100,47,113,87
2309184,2019-11,7,56,65,73,65
2309184,2019-12,5,52,32,54,46
2313706,2019-10,3,48,10,8,22
2314210,2019-10,4,25,11,17,18
2314210,2019-11,18,33,17,18,23
2314565,2019-10,24,41,13,29,28
2314565,2019-11,0,25,14,23,21
2326469,2019-10,19,67,26,79,57
2339767,2019-10,28,62,31,58,51
2339767,2019-11,2,38,29,34,34
2340175,2019-10,4,23,20,6,16
2340175,2019-11,2,17,13,4,11
2341888,2019-10,65,182,234,254,223
2341888,2019-11,89,198,174,234,202
2341888,2019-12,25,140,64,164,123
2355621,2019-10,12,47,5,30,27
2359785,2019-10,5,20,15,9,15
2359785,2019-11,0,14,9,2,8
2359785,2019-12,0,12,19,7,13
2360693,2019-10,2,39,8,34,27
2360693,2019-11,24,49,24,36,36
2369619,2019-10,1,30,22,11,21
2369619,2019-11,0,23,17,4,15
2371800,2019-10,8,22,0,12,11
2375746,2019-10,105,182,211,289,227
2375746,2019-11,79,154,174,145,158
2375746,2019-12,9,96,84,70,83
2380506,2019-10,12,41,19,19,26
2383889,2019-10,8,28,6,12,15
2383889,2019-11,0,21,2,7,10
2383889,2019-12,0,18,4,3,9
2395893,2019-10,106,353,464,367,395
2395893,2019-11,126,315,236,422,324
2395893,2019-12,64,267,201,307,258
2423230,2019-10,29,97,32,79,70
2423230,2019-11,14,63,80,131,91
2432043,2019-10,15,40,37,40,39
2432043,2019-11,11,40,34,34,36
2432043,2019-12,6,38,27,24,30
2440293,2019-10,62,109,27,59,65
2440293,2019-11,106,143,44,51,79
2441816,2019-10,1,40,11,22,24
2441816,2019-11,1,29,18,10,19
2441816,2019-12,11,24,22,16,21
2513224,2019-10,12,140,79,165,128
2513224,2019-11,110,204,70,234,170
2518495,2019-10,4,27,3,15,15
2522270,2019-10,0,19,6,0,8
2522270,2019-11,11,26,10,10,16
2537047,2019-10,4,21,9,10,13
2547235,2019-10,8,31,16,5,17
2547652,2019-10,34,58,31,40,43
2547652,2019-11,0,34,3,11,16
2552513,2019-10,23,59,9,19,29
2552513,2019-11,6,47,9,6,21
2552668,2019-10,0,28,6,9,14
2552668,2019-11,7,31,5,6,14
2552668,2019-12,0,23,3,6,10
2566986,2019-10,0,18,0,9,9
2566986,2019-11,6,21,1,11,11
2568579,2019-10,18,34,26,26,29
2568579,2019-11,5,24,6,11,14
2568579,2019-12,1,19,20,13,17
2568638,2019-10,65,95,31,79,68
2568638,2019-11,38,74,26,27,42
2568638,2019-12,18,60,14,34,36
2569112,2019-10,75,198,403,302,301
2569112,2019-11,79,199,379,260,279
2569112,2019-12,9,133,120,101,118
2575375,2019-10,158,232,190,210,211
2575375,2019-11,56,173,147,193,171
2575375,2019-12,28,145,125,148,139
2577278,2019-10,17,102,86,140,109
2577278,2019-11,28,102,90,134,109
2578464,2019-10,241,325,171,216,237
2578464,2019-11,152,310,405,356,357
2578464,2019-12,42,251,307,264,274
2603525,2019-10,0,24,1,13,13
2603525,2019-11,10,31,8,11,16
2603525,2019-12,11,34,12,14,20
2636640,2019-10,1,17,6,9,10
2636640,2019-11,0,14,4,8,9
2654015,2019-10,26,80,24,67,57
2654015,2019-11,22,76,38,77,64
2667560,2019-10,8,51,18,45,38
2667560,2019-11,0,41,0,30,24
2667775,2019-10,9,33,28,35,32
2668742,2019-10,0,28,7,5,13
2668742,2019-11,1,24,1,6,10
2668742,2019-12,8,27,5,13,15
2669576,2019-10,43,87,76,84,82
2669576,2019-11,31,73,51,73,66
2676859,2019-10,9,32,5,18,18
2676859,2019-11,3,25,2,11,13
2676859,2019-12,11,33,12,17,20
2684319,2019-10,39,142,139,160,147
2684319,2019-11,93,175,156,197,176
2684319,2019-12,65,148,67,140,118
2688067,2019-10,396,548,359,268,392
2688067,2019-11,80,347,235,380,321
2688067,2019-12,77,332,209,195,245
2694213,2019-10,15,45,18,41,35
2694213,2019-11,16,45,25,36,35
2720980,2019-10,126,383,421,522,442
2720980,2019-11,113,347,388,588,441
2720980,2019-12,49,260,217,394,290
2764434,2019-10,4,33,6,14,18
2768256,2019-10,7,34,3,20,19
2768256,2019-11,6,27,1,13,14
2768256,2019-12,16,33,18,18,23
2793314,2019-10,0,19,18,15,17
2793314,2019-11,1,16,7,6,10
2801980,2019-10,2,49,11,44,35
2801980,2019-11,22,57,10,46,37
2801980,2019-12,12,45,3,28,26
2806266,2019-10,4,45,40,48,44
2806266,2019-11,0,35,13,26,25
2806266,2019-12,8,33,13,41,29
2806348,2019-10,6,38,6,48,31
2812713,2019-10,17,106,191,112,137
2812713,2019-11,1,80,35,83,66
2812713,2019-12,6,72,62,64,66
2821074,2019-10,5,23,0,12,12
2821074,2019-11,4,21,13,7,13
2821074,2019-12,0,15,0,8,8
2824711,2019-10,7,35,9,32,25
2824711,2019-11,6,30,7,17,18
2824711,2019-12,30,49,8,34,30
2831084,2019-10,4,24,18,12,18
2831084,2019-11,1,20,3,5,9
2849368,2019-10,14,41,40,35,38
2849368,2019-11,17,42,14,30,29
2872694,2019-10,9,57,13,27,32
2872694,2019-11,10,54,24,14,31
2872694,2019-12,77,104,24,39,56
2873718,2019-10,1,34,7,14,19
2873718,2019-11,0,30,6,10,16
2873718,2019-12,5,29,13,11,18
2903015,2019-10,3,26,0,6,11
2903015,2019-11,3,25,3,4,11
2928768,2019-10,3,26,25,18,23
2949579,2019-10,140,151,168,171,163
2949579,2019-11,23,88,43,56,62
2949579,2019-12,0,77,21,22,40
2952325,2019-10,146,293,260,355,303
2952325,2019-11,166,259,294,372,308
2952325,2019-12,115,223,211,192,209
2973978,2019-10,8,27,9,22,19
2981538,2019-10,3,37,23,36,32
2999372,2019-10,4,48,38,44,43
2999372,2019-11,3,34,14,30,26
2999372,2019-12,33,46,33,41,40
3007306,2019-10,89,322,674,502,499
3007306,2019-11,86,261,290,391,314
3007306,2019-12,21,183,280,224,229
3043285,2019-10,0,24,4,5,11
3043285,2019-11,0,21,5,4,10
3043285,2019-12,7,24,6,8,13
3046776,2019-10,3,35,17,16,22
3046776,2019-11,7,36,4,8,16
3054908,2019-10,1,17,7,8,11
3054908,2019-11,2,16,4,4,8
3069157,2019-10,15,46,5,35,29
3069157,2019-11,14,45,6,30,27
3105989,2019-10,39,108,98,138,115
3105989,2019-11,6,76,93,108,93
3105989,2019-12,9,69,74,53,66
3106771,2019-10,4,39,5,12,19
3106771,2019-11,57,75,27,22,42
3106771,2019-12,26,53,43,28,41
3118654,2019-10,0,34,46,38,39
3118654,2019-11,5,30,6,20,19
3124933,2019-10,13,45,67,28,47
3124933,2019-11,22,52,23,21,32
3124933,2019-12,15,48,9,33,30
3162626,2019-10,12,84,24,96,68
3174034,2019-10,15,35,9,24,23
3174034,2019-11,3,25,7,10,14
3174034,2019-12,0,19,13,12,15
3185233,2019-10,0,37,79,42,53
3185233,2019-11,30,59,76,56,64
3185233,2019-12,4,38,25,24,29
3202372,2019-10,0,29,11,16,19
3202372,2019-11,0,20,22,9,17
3202372,2019-12,3,18,5,11,11
3203775,2019-10,24,37,10,21,23
3217827,2019-10,20,71,40,78,63
3217827,2019-11,62,98,39,88,75
3217827,2019-12,16,68,42,41,50
3219760,2019-10,59,250,366,393,337
3219760,2019-11,253,348,433,361,380
3219760,2019-12,108,241,248,273,254
3224600,2019-10,5,47,10,32,30
3225574,2019-10,0,16,1,3,7
3225574,2019-11,11,24,2,7,11
3226498,2019-10,19,56,2,4,21
3226498,2019-11,1,45,1,7,18
3226498,2019-12,18,57,1,34,31
3226914,2019-10,34,84,4,57,48
3226914,2019-11,3,61,18,29,36
3226914,2019-12,13,60,16,20,32
3234405,2019-10,0,22,6,4,11
3234405,2019-11,1,19,2,0,7
3234405,2019-12,0,16,2,6,8
3239073,2019-10,15,50,11,33,31
3239073,2019-11,4,41,11,21,24
3245509,2019-10,6,52,41,68,54
3245509,2019-11,4,45,50,73,56
3247897,2019-10,13,35,7,22,21
3247897,2019-11,2,25,3,13,14
3260587,2019-10,0,26,19,20,22
3260587,2019-11,5,30,9,29,23
3279963,2019-10,2,37,9,10,19
3281066,2019-10,14,77,18,34,43
3281066,2019-11,33,77,42,27,49
3281066,2019-12,23,68,6,9,27
3282204,2019-10,13,27,4,30,20
3282204,2019-11,2,20,9,12,13
3282204,2019-12,0,19,15,8,14
3335667,2019-10,26,59,39,33,43
3345922,2019-10,11,36,51,138,75
3345922,2019-11,22,44,38,0,27
3345922,2019-12,14,39,20,19,26
3359398,2019-10,1,37,35,36,36
3359398,2019-11,0,25,10,10,15
3359398,2019-12,2,19,6,0,8
3362704,2019-10,30,63,29,42,45
3362704,2019-11,6,38,23,18,26
3370359,2019-10,3,38,35,31,34
3370359,2019-11,9,34,37,32,35
3370359,2019-12,8,27,8,20,19
3403487,2019-10,25,73,17,53,48
3403487,2019-11,0,51,12,30,31
3410537,2019-10,4,20,12,20,17
3410537,2019-11,3,19,7,17,14
3410537,2019-12,1,18,8,14,13
3446262,2019-10,4,94,75,60,76
3446262,2019-11,0,79,46,62,62
3446262,2019-12,0,57,35,57,50
3463910,2019-10,0,16,23,5,15
3463910,2019-11,5,18,44,1,21
3463910,2019-12,12,23,8,2,11
3482861,2019-10,1,28,3,8,13
3484188,2019-10,36,74,71,80,75
3484188,2019-11,37,81,55,78,71
3497621,2019-10,13,54,37,57,49
3497621,2019-11,17,43,17,38,33
3497621,2019-12,8,30,15,27,24
3498179,2019-10,16,87,76,99,87
3498179,2019-11,2,59,85,78,74
3498179,2019-12,1,40,46,62,49
3506724,2019-10,246,465,460,388,438
3506724,2019-11,152,395,331,389,372
3506724,2019-12,59,324,235,438,332
3520017,2019-10,0,18,26,9,18
3520017,2019-11,16,29,22,16,22
3537244,2019-10,48,152,349,220,240
3537244,2019-11,42,141,321,199,220
3537244,2019-12,26,122,63,133,106
3542013,2019-10,7,43,39,49,44
3542013,2019-11,2,45,39,46,43
3542181,2019-10,0,29,7,15,17
3542181,2019-11,20,40,39,19,32
3551916,2019-10,18,46,13,9,23
3551916,2019-11,22,55,12,10,26
3602471,2019-10,0,22,17,7,15
3602471,2019-11,5,23,13,5,13
3602471,2019-12,0,17,10,8,12
3606248,2019-10,66,158,257,168,194
3606248,2019-11,24,112,175,156,147
3606248,2019-12,27,93,39,109,81
3634986,2019-10,53,144,119,198,154
3634986,2019-11,65,132,127,154,137
3634986,2019-12,4,77,40,68,62
3637532,2019-10,45,125,138,101,121
3637532,2019-11,118,160,40,84,95
3637532,2019-12,43,114,32,94,80
3706750,2019-10,1,48,41,33,41
3706750,2019-11,18,55,27,31,38
3721624,2019-10,12,52,24,46,41
3721624,2019-11,0,40,26,27,31
3721624,2019-12,0,36,6,28,23
3738908,2019-10,231,506,723,554,594
3738908,2019-11,310,478,378,427,428
3738908,2019-12,219,408,502,296,402
3745019,2019-10,9,55,80,61,65
3745019,2019-11,16,45,18,50,38
3745019,2019-12,6,35,12,42,29
3754535,2019-10,9,62,25,74,54
3754535,2019-11,5,53,27,60,47
3754535,2019-12,6,47,30,43,40
3777289,2019-10,6,32,29,31,31
3777289,2019-11,5,29,24,14,23
3785281,2019-10,1,56,53,65,58
3785281,2019-11,5,59,58,69,62
3786990,2019-10,5,53,25,39,39
